country,year,total_population,population_density
Tokelau,2019,133,133.000
Tonga,2019,104497,145.135
Trinidad and Tobago,2019,1394969,271.924
Tunisia,2019,11694721,75.275
Turkey,2019,83429607,108.402
Turkmenistan,2019,5942094,12.645
Turks and Caicos Islands,2019,38194,40.204
Tuvalu,2019,11655,388.500
UN-ECE: member countries,2019,1296680593,28.636
UNFPA Regions,2019,6358800278,80.319
UNFPA: Arab States (AS),2019,370070433,38.095
UNFPA: Asia and the Pacific (AP),2019,4047949107,181.404
UNFPA: East and Southern Africa (ESA),2019,601481415,49.391
UNFPA: Eastern Europe and Central Asia (EECA),2019,248170834,42.183
UNFPA: Latin America and the Caribbean (LAC),2019,644001843,32.147
UNFPA: West and Central Africa (WCA),2019,447126646,49.424
UNICEF PROGRAMME REGIONS,2019,6440543873,78.708
UNICEF Programme Regions: East Asia and Pacific (EAPRO),2019,2129737711,133.824
UNICEF Programme Regions: Eastern Caribbean,2019,2397227,248.675
UNICEF Programme Regions: Eastern and Southern Africa (ESARO),2019,528864083,50.194
UNICEF Programme Regions: Europe and Central Asia (CEECIS),2019,279293796,44.393
UNICEF Programme Regions: Latin America,2019,640775552,32.019
UNICEF Programme Regions: Latin America and Caribbean (LACRO),2019,643172779,32.124
UNICEF Programme Regions: Middle East and North Africa (MENARO),2019,490260787,37.773
UNICEF Programme Regions: South Asia (ROSA),2019,1835297503,384.631
UNICEF Programme Regions: West and Central Africa (WCARO),2019,533917214,47.192
UNICEF REGIONS,2019,7713468205,59.291
UNICEF Regions: East Asia and Pacific,2019,2376751014,97.457
UNICEF Regions: Eastern Europe and Central Asia,2019,425166056,18.756
UNICEF Regions: Eastern and Southern Africa,2019,575173373,46.649
UNICEF Regions: Europe and Central Asia,2019,922025316,34.122
UNICEF Regions: Latin America and Caribbean,2019,648120956,32.182
UNICEF Regions: Middle East and North Africa,2019,455575824,39.689
UNICEF Regions: North America,2019,366600944,19.655
UNICEF Regions: South Asia,2019,1835297503,384.631
UNICEF Regions: Sub-Saharan Africa,2019,1109096648,46.908
UNICEF Regions: West and Central Africa,2019,533923275,47.191
UNICEF Regions: Western Europe,2019,49685926,114.143
UNITED NATIONS Regional Groups of Member States,2019,7707903418,59.373
Uganda,2019,44269587,221.558
Ukraine,2019,43993643,75.940
UAE,2019,9770526,116.872
UK,2019,67530161,279.131
United Kingdom (and dependencies),2019,68045699,264.934
United Nations Economic Commission for Africa (UN-ECA),2019,1306320572,44.464
United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),2019,648117584,32.201
United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,2019,459069195,88.272
United Nations Member States,2019,770790351,59.373
